credit_history,employment_status,collateral,payment_history,type_of_credit_accounts,public_records_and_collections,purpose_of_loan,income,assets_value,debt_to_income_ratio,length_of_credit_history,number_of_credit_inquiries,number_of_credit_accounts,number_of_credit_accounts_opened_last_12_months,current_balance_of_credit_accounts,total_credit_limit,total_credit_utilization,loan_amount,saving_account_balance,approval_status
Poor,Self-Employed,None,Fair,Auto,Judgement,Debt Consolidation,30971,11969,78,21,0,5,0,135,18627,25,4648,4719,Rejected
Poor,Unemployed,Investment,Excellent,Mortgage,Collection,Home Improvement,19120,45396,81,92,0,2,1,19857,11996,58,2657,19366,Rejected
Excellent,Unemployed,House,Poor,Other,Bankruptcy,Debt Consolidation,48687,18880,73,27,0,3,1,17501,18074,30,2487,15500,Rejected
Fair,Unemployed,Car,Good,Other,Tax Lien,Home Improvement,40997,11527,6,19,3,3,4,9376,5073,60,3100,12380,Rejected
Good,Unemployed,House,Excellent,Personal,None,Business,35485,27016,33,49,5,2,3,18960,14542,99,1596,7946,Rejected
Excellent,Self-Employed,Investment,Fair,Mortgage,Bankruptcy,Debt Consolidation,17903,14997,23,13,4,3,4,10430,2307,63,4126,12181,Rejected
Excellent,Unemployed,House,Fair,Auto,Other,Car Financing,22729,34526,71,72,4,2,4,544,13680,44,3786,8307,Rejected
Good,Employed,Investment,Good,Personal,None,Home Improvement,40887,12852,42,60,0,3,5,14448,9454,75,2111,12495,Rejected
Fair,Employed,None,Excellent,Personal,Judgement,Other,45896,25316,91,53,1,0,2,18335,10517,97,3870,12994,Rejected
Fair,Self-Employed,Investment,Good,Personal,Tax Lien,Other,42360,36257,28,67,3,2,5,2131,13880,60,3961,15637,Rejected
Poor,Employed,Car,Excellent,Mortgage,Collection,Car Financing,33090,48730,41,87,2,5,2,18385,13830,74,4904,7925,Rejected
Good,Self-Employed,Land,Good,Student,Judgement,Debt Consolidation,11546,13767,15,30,4,3,1,8343,2049,99,3631,6763,Rejected
Good,Employed,Other,Excellent,Mortgage,Other,Other,34017,18704,73,13,2,5,0,6316,6875,22,2067,5985,Approved
Fair,Self-Employed,Other,Good,Mortgage,Judgement,Other,49714,12281,41,69,1,1,2,19177,9478,81,2059,12871,Rejected
